sta  stla  stlo  az  dist  pga  pgv
W24A 24.899167 121.038017 348.768 141.09 1.311514 0.129426
W24B 24.706900 121.203033 354.717 117.567 2.029153 0.124249
W24C 24.728183 121.226050 355.932 119.725 1.204592 0.115232
W24D 24.618633 121.285517 358.676 107.315 2.574986 0.091120
W24E 24.768267 121.224550 356.008 124.165 0.892674 0.056387
W24F 24.659750 121.301900 359.58 111.844 5.203518 0.174010
W250 24.579967 121.302283 359.565 103.006 3.704455 0.235912
W251 24.796267 120.973983 345.021 131.47 2.455956 0.253136
W252 24.801567 121.140667 352.355 128.704 1.614362 0.158286
W253 24.796250 120.944067 343.756 132.29 1.264749 0.224353
W254 24.796917 120.966517 344.712 131.738 2.093614 0.288637
W255 24.733500 120.967267 343.889 124.959 2.736275 0.223498
W256 24.887533 121.094483 350.973 138.808 0.958833 0.123260
W257 24.878806 121.060796 349.519 138.438 1.029386 0.112597
W258 24.782200 121.011733 346.478 129.012 1.565792 0.191035
W259 24.726233 120.929550 342.111 125.315 3.250412 0.279219
W25A 24.648100 121.151300 351.731 111.721 2.392436 0.103528
W25B 24.789100 120.996400 345.894 130.128 2.508356 0.245632
W25C 24.689400 121.020100 345.706 118.834 2.516325 0.179403
W25D 24.701000 121.053400 347.427 119.294 1.846532 0.155789
W25E 24.705600 121.105800 349.978 118.746 1.444086 0.107860
W25F 24.680300 121.247200 356.812 114.295 1.310238 0.078956
W260 24.859100 121.360100 2.16552 134.019 2.203295 0.144463
W261 24.872733 121.404500 4.03391 135.772 1.489309 0.095650
W262 24.853583 121.437350 5.51513 133.937 0.774870 0.058478
W263 24.958333 121.333167 0.92515 144.934 2.034487 0.183192
W264 24.955933 121.389367 3.1719 144.873 3.121960 0.209664
W265 24.971224 121.442442 5.2219 146.959 -2.220927 0.222979
W266 24.926238 121.447213 5.60025 142.044 1.491902 0.098684
W267 24.997667 121.424283 4.42018 149.722 2.683166 0.253089
W268 25.016667 121.405833 3.65665 151.689 2.449804 0.252352
W269 25.024105 121.413752 3.93629 152.565 8.381519 0.648433
W26B 25.044660 121.426907 4.36788 154.933 1.727131 0.223596
W26C 25.062215 121.431638 4.48699 156.909 2.149060 0.273704
W26D 25.071315 121.433947 4.54214 157.932 2.343330 0.255476
W26E 25.082678 121.437393 4.63067 159.215 1.971097 0.206308
W26F 25.080467 121.389683 2.90503 158.65 2.393698 0.174758
W270 25.107867 121.339233 1.04631 161.507 4.600166 0.357461
W271 25.149450 121.403433 3.247 166.356 2.087014 0.234848
W272 25.099950 121.450850 5.05601 161.237 2.563305 0.250798
W273 25.084333 121.469650 5.78915 159.696 1.193124 0.190374
W275 25.050281 121.474908 6.12432 156.001 2.629951 0.182360
W276 25.015600 121.483390 6.60062 152.279 1.666140 0.174135
W278 25.003483 121.517283 7.94596 151.385 0.960930 0.104019
W279 24.952050 121.486717 7.05467 145.33 4.542130 0.193468
W27A 24.922467 121.546800 9.63197 142.978 1.490189 0.119800
W27B 24.902150 121.553133 10.0432 140.871 1.241355 0.059623
W27C 24.862952 121.554462 10.4192 136.624 0.655864 0.048792
W27D 25.147560 121.460037 5.21165 166.573 1.905633 0.150292
W27E 25.157833 121.483424 5.97705 167.938 2.465941 0.157644
W27F 25.257867 121.501400 6.17979 179.15 1.306132 0.122707
W280 25.291961 121.567179 8.1054 183.732 0.665370 0.065180
W281 25.239444 121.630556 10.3949 179.03 0.484329 0.073224
W282 25.222355 121.636885 10.7095 177.288 0.655368 0.066857
W283 25.219013 121.602608 9.6293 176.306 0.355263 0.045891
W284 25.167375 121.638686 11.1523 171.346 0.902856 0.084268
W285 25.176537 121.688634 12.7187 173.392 1.014956 0.095235
W286 25.107720 121.804292 17.1528 169.07 0.542641 0.048063
W287 25.120923 121.919092 20.6452 174.248 0.294116 0.031026
W28A 25.016510 121.988533 24.3257 166.287 0.241297 0.033676
W28B 25.033040 121.867920 20.1705 163.318 0.896360 0.066928
W28C 25.015100 121.804410 18.258 159.311 1.496718 0.076291
W28D 25.026990 121.738410 15.8233 158.596 1.245728 0.080749
W28E 25.007658 121.688042 14.2363 155.196 0.962190 0.110259
W28F 24.990690 121.658658 13.3331 152.658 0.598777 0.060913
W290 25.047819 121.618753 11.377 157.966 2.571979 0.207528
W291 25.066754 121.655177 12.5114 160.786 1.976071 0.112496
W292 24.952989 121.636375 12.8627 148.077 0.901682 0.105502
W293 24.936034 121.710787 15.86 148.142 1.314356 0.080036
W294 25.001655 121.616882 11.6899 152.919 1.438909 0.108999
W295 24.953571 121.538708 9.0884 146.242 2.323308 0.140888
W296 24.777416 121.502129 8.84419 126.391 0.838609 0.064569
W297 24.972988 121.548466 9.33125 148.524 2.032387 0.131522
W298 25.065900 121.480300 6.25305 157.78 1.745424 0.196408
W299 24.954900 121.346700 1.46925 144.583 1.611105 0.117267
W29A 25.203800 121.501700 6.40569 173.201 1.141465 0.075244
W29B 25.258700 121.530100 7.09353 179.58 0.894478 0.060072
W29D 25.056204 121.448047 5.11089 156.385 3.226850 0.310852
W29E 24.939124 121.373232 2.56125 142.931 0.892545 0.108605
W300 25.130896 121.746233 15.009 169.894 0.776065 0.103707
W302 25.107268 121.665507 12.523 165.393 0.961818 0.069481
W303 25.138823 121.707255 13.6507 169.76 0.889421 0.071490
W304 25.098494 121.753993 15.5921 166.644 1.440439 0.112588
W305 25.128716 121.783250 16.2398 170.679 0.783991 0.068445
W306 25.124803 121.756741 15.4146 169.525 0.773345 0.065236
W310 24.976283 121.583650 10.6515 149.506 0.878628 0.093904
W311 25.025767 121.568600 9.71921 154.628 1.189729 0.098424
W312 25.028600 121.568117 9.68143 154.929 1.968287 0.201719
W313 25.049217 121.548600 8.83061 156.862 1.925394 0.240537
W314 25.050233 121.578617 9.91308 157.472 2.630788 0.208449
W315 25.087250 121.601200 10.4545 161.914 1.318973 0.127189
W316 25.083633 121.565650 9.2251 160.899 3.710533 0.312580
W317 25.106067 121.563933 9.0238 163.325 0.772711 0.080295
W318 25.129450 121.576600 9.3171 166.087 2.561017 0.233245
W319 25.168500 121.538833 7.81018 169.79 2.460613 0.189987
W31A 25.117900 121.538367 8.06291 164.233 0.548302 0.061829
W31B 25.092583 121.525067 7.73246 161.269 1.439402 0.175607
W31D 25.119500 121.505017 6.8905 163.966 1.729397 0.179354
W31E 25.141933 121.509783 6.9507 166.491 0.422553 0.055416
W31F 25.126600 121.466217 5.50248 164.321 1.917661 0.172516
W320 25.083500 121.572400 9.4652 160.997 2.819879 0.213962
W321 25.049600 121.538100 8.4456 156.743 1.445297 0.217234
W322 25.002700 121.551700 9.24904 151.824 2.975260 0.210627
W323 25.040724 121.614071 11.2655 157.102 5.269406 0.335869
W324 25.064100 121.512600 7.43617 157.975 1.191499 0.162306
W330 25.006500 121.214167 356.316 150.565 1.622358 0.238363
W331 25.012600 121.137283 353.41 151.941 1.325745 0.174580
W332 24.973649 121.102035 351.849 148.123 1.199173 0.164036
W333 25.035383 121.083200 351.516 155.166 0.766841 0.111834
W334 24.974535 121.026197 348.949 149.511 1.013409 0.147477
W335 25.086383 121.190683 355.673 159.56 1.310472 0.188731
W336 24.918767 121.137217 352.92 141.623 1.311065 0.182037
W337 24.922617 121.249983 357.537 141.09 1.259271 0.235818
W339 24.655217 121.399450 4.65005 111.709 4.780070 0.259299
W33A 24.936917 121.080517 350.765 144.434 1.327208 0.189651
W33B 24.881783 121.304483 359.766 136.436 2.281558 0.155847
W33C 24.847667 121.167667 353.81 133.442 1.309336 0.129921
W33D 24.870400 121.234700 356.778 135.39 1.548067 0.110639
W33E 24.836200 121.248400 357.286 131.535 2.390044 0.222378
W33F 24.800100 121.307300 359.877 127.388 3.645679 0.143796
W340 24.797500 121.364850 2.49906 127.221 1.257908 0.091458
W341 24.908267 121.179500 354.596 139.997 1.328297 0.169651
W342 24.986783 121.290100 359.223 148.08 2.042625 0.252574
W343 25.045083 121.314617 0.172733 154.525 1.139519 0.183823
W344 24.674000 121.367317 2.92844 113.569 2.262486 0.116250
W345 24.712119 121.360400 2.48236 117.753 1.911690 0.085603
W346 25.057956 121.359963 1.85186 156.033 2.439574 0.255092
W350 23.852700 120.320700 282.747 103.324 2.457000 0.255986
W351 24.147000 120.476300 303.126 101.18 2.577699 0.274596
W352 24.088800 120.479800 300.054 97.5307 1.439276 0.198532
W353 24.058600 120.443400 297.315 99.201 1.613675 0.182870
W354 24.008000 120.419100 293.775 99.0523 2.402087 0.200843
W355 23.981300 120.390100 291.563 100.66 1.858298 0.165292
W356 23.937600 120.395300 289.048 98.5116 2.508227 0.213068
W357 23.897900 120.370600 286.188 99.6106 3.158057 0.233161
W358 23.876000 120.416600 285.547 94.4475 2.624400 0.219682
W359 23.853100 120.491900 285.258 86.3825 2.917434 0.234651
W35A 23.892700 120.478100 287.755 88.9542 2.628560 0.305966
W35C 23.948700 120.443200 290.705 94.3263 1.865698 0.236296
W35D 23.968000 120.486900 292.943 90.9695 1.188664 0.223456
W35E 24.002600 120.492900 295.294 91.9571 1.260172 0.175660
W35F 24.104200 120.533400 302.613 93.7372 1.187966 0.160906
W360 24.071700 120.551500 301.306 90.2816 1.312937 0.158056
W361 24.047600 120.544600 299.61 89.5473 3.586595 0.212071
W362 24.017200 120.565700 298.355 86.0486 1.432374 0.173675
W363 23.992700 120.585000 297.34 83.0521 3.292624 0.138351
W364 23.968400 120.601300 296.169 80.3671 2.694650 0.193527
W365 23.962300 120.563500 294.6 83.5654 3.054896 0.277221
W366 23.919800 120.601400 292.62 78.1581 1.921779 0.115557
W367 23.867100 120.605300 288.647 75.7547 2.627722 0.193366
W368 23.811000 120.617000 284.302 72.8755 5.733423 0.380786
W36A 23.886800 120.560600 289.099 80.7654 3.295165 0.311314
W36B 24.014889 120.643065 300.876 79.0591 1.375065 0.133024
W370 23.577100 120.304700 265.701 102.911 2.141510 0.304682
W371 23.711400 120.266100 273.863 106.696 1.714524 0.333053
W372 23.541700 120.189700 264.235 114.973 3.887654 0.316400
W373 23.709700 120.191200 273.539 114.311 1.675211 0.190414
W374 23.739800 120.222200 275.34 111.39 3.531449 0.231639
W375 23.600700 120.179300 267.516 115.51 2.020077 0.196936
W376 23.642900 120.177700 269.836 115.529 1.073929 0.115309
W377 23.767200 120.458300 278.67 87.8208 3.341908 0.269873
W378 23.816700 120.413900 281.603 93.2131 3.049627 0.237787
W379 23.786200 120.355500 279 98.4944 1.619125 0.239836
W37A 23.797500 120.273500 278.994 106.945 1.557278 0.197494
W37B 23.656700 120.349700 270.626 97.9748 3.166316 0.300344
W37C 23.620700 120.315000 268.368 101.578 1.856139 0.248730
W37E 23.719800 120.338300 274.654 99.4121 2.144311 0.435554
W37F 23.715300 120.529100 275.344 79.9793 3.538829 0.372567
W380 23.677300 120.513900 272.291 81.2699 3.585506 0.384723
W381 23.737200 120.514500 276.947 81.7064 2.380918 0.263897
W382 23.645700 120.565800 269.789 75.9294 2.148791 0.201527
W383 23.686700 120.586300 273.296 73.9366 2.745825 0.373351
W384 23.759900 120.617600 279.918 71.654 5.265278 0.376911
W385 23.768000 120.563400 279.889 77.2511 4.108630 0.273190
W386 23.741300 120.401400 276.409 93.218 1.661743 0.210367
W387 23.710200 120.441600 274.478 88.8291 4.427900 0.454073
W388 23.647200 120.459200 269.965 86.8046 4.658777 0.357727
W389 23.634660 120.401620 269.131 92.6985 2.714440 0.395466
W38A 23.604100 120.240900 267.545 109.212 2.379465 0.194040
W38B 23.604200 120.631900 265.943 69.3811 2.810873 0.198004
W38C 23.561300 120.606300 262.351 72.4879 2.575025 0.131198
W38D 23.411800 120.307700 255.746 105.697 4.428385 0.298471
W38E 23.419800 120.183000 257.733 117.873 2.848799 0.245076
W390 22.673000 121.470500 171.331 109.44 1.005549 0.098107
W391 22.674500 121.493100 170.118 109.648 0.658260 0.061475
W392 22.080000 121.527900 172.629 175.298 0.298986 0.039185
W393 22.019400 121.562700 171.777 182.429 0.242590 0.046028
W394 23.354200 121.465500 154.104 36.4074 24.511620 2.214734
W395 23.315400 121.452400 158.539 39.8104 -0.000000 0.000000
W396 23.286200 121.430100 163.038 42.1182 12.489362 0.688907
W398 23.157000 121.399900 170.428 55.3677 6.575478 0.368847
W39A 23.039700 121.292900 181.485 67.6129 2.320875 0.113252
W39B 23.095700 121.218600 188.673 62.0957 4.666199 0.413672
W39D 23.006100 121.173000 191.143 72.6748 2.346359 0.333830
W39F 22.716900 121.047700 194.619 106.77 0.539672 0.058268
W400 22.340000 120.889200 196.644 151.354 0.416780 0.049745
W401 22.757300 121.145000 189.728 100.297 0.772351 0.129893
W402 24.394400 120.920800 334.426 91.4634 2.803863 0.154442
W403 24.601900 120.778200 332.962 118.484 1.498396 0.159512
W404 24.490900 120.683300 325.743 112.856 1.270853 0.141283
W405 24.559000 120.710000 328.91 117.719 1.872381 0.163089
W406 24.448200 120.654700 323.119 110.718 2.870728 0.251163
W407 24.417600 120.685200 323.345 106.149 1.615593 0.127127
W408 24.527600 120.751700 329.827 112.565 3.039418 0.192386
W409 24.624000 120.894000 338.681 115.871 1.560505 0.107087
W40A 24.617800 120.914900 339.542 114.47 1.608820 0.139625
W40B 24.543500 120.971000 340.866 104.795 1.317811 0.106460
W40C 24.347800 120.826600 327.624 91.6115 1.851408 0.149389
W40D 24.465800 120.940100 337.47 97.8763 1.734135 0.095699
W40E 24.489700 120.932700 337.657 100.609 1.260161 0.095687
W40F 24.440000 120.925500 335.994 95.8425 1.907848 0.102258
W410 24.226100 120.704600 316.116 88.711 1.004959 0.085234
W411 24.135900 120.677600 310.011 83.927 1.074321 0.098948
W412 24.196300 120.748000 316.713 83.2765 2.436871 0.212033
W413 24.276700 120.634900 315.426 97.6691 0.844122 0.114395
W414 24.292900 120.935100 331.891 80.7847 3.046294 0.144875
W415 24.276500 120.773800 321.923 88.2796 1.028759 0.136354
W416 24.062090 120.642894 304.021 81.8595 3.118138 0.258085
W417 24.083800 120.752443 310.344 74.3882 1.362089 0.128621
W418 24.149332 120.615334 308.158 89.7911 1.900754 0.203040
W420 22.073000 120.814000 196.346 181.907 0.358796 0.057605
W421 22.261100 120.650993 203.849 168.005 0.668400 0.102258
W422 22.738282 120.553960 217.621 127.222 1.796395 0.189709
W423 22.470952 120.454348 214.05 157.282 1.017367 0.196974
W424 22.432549 120.518390 211.193 157.355 1.442282 0.191733
W425 22.401681 120.576875 208.671 157.348 0.773907 0.112609
W426 22.804009 120.577580 218.808 119.989 1.663277 0.183748
W427 22.807755 120.492351 222.059 125.314 2.226872 0.358980
W430 23.231500 120.261600 246.813 116.729 2.263444 0.207154
W431 23.245500 120.160000 249.36 125.757 3.960962 0.395133
W432 23.286100 120.138000 251.63 126.338 3.003034 0.343069
W433 23.218500 120.106800 249 131.917 3.446571 0.468625
W434 23.188500 120.088500 247.978 134.898 2.217308 0.350625
W435 23.160000 120.135300 245.912 131.764 2.402324 0.297344
W437 23.121500 120.180700 243.339 129.436 2.931736 0.290121
W438 22.914300 120.271600 232.719 133.883 1.323882 0.212216
W439 22.939900 120.333400 231.984 127.143 3.151489 0.442257
W43A 23.076500 120.116900 242.732 137.534 1.862942 0.403039
W43B 23.241000 120.317700 246.125 111.053 2.507018 0.207514
W43C 23.265900 120.446700 244.425 97.9279 3.352416 0.206784
W43D 23.226000 120.348400 244.649 108.908 4.238737 0.249712
W43E 23.222200 120.400400 243.172 104.33 3.532637 0.218962
W43F 23.266400 120.387900 245.911 103.349 6.031741 0.411070
W440 22.656400 120.423300 219.704 142.665 1.735802 0.298813
W441 22.561400 120.336000 219.804 156.492 2.203680 0.350490
W442 22.507600 120.393500 216.765 157.557 1.783460 0.247487
W443 22.759900 120.293000 226.764 143.371 1.637945 0.413242
W444 22.783700 120.247300 228.797 145.039 3.172970 0.451317
W445 22.727866 120.278262 226.17 146.923 1.544305 0.353761
W446 22.851119 120.540862 221.808 118.416 1.628084 0.241935
W447 23.022574 120.561548 227.914 103.378 1.138837 0.157264
W448 22.888264 120.480625 225.333 119.657 1.560082 0.190465
W449 23.248737 120.702867 234.505 76.3117 3.352152 0.183497
W44A 23.276186 120.720543 235.611 73.0817 7.129186 0.235486
W44B 22.847315 120.465447 224.36 123.983 2.030748 0.304387
W44C 22.623642 120.271294 223.309 155.681 2.215470 0.230453
W451 22.971100 121.304900 180.398 75.1891 3.049962 0.169488
W460 23.379400 120.246700 254.783 112.654 3.276965 0.363747
W461 23.336000 120.245600 252.475 114.151 3.727356 0.290574
W462 23.306700 120.208400 251.551 118.786 3.887754 0.330239
W463 23.518100 120.591100 258.885 74.8221 3.774308 0.245258
W464 23.555700 120.724400 260.205 60.6725 7.240364 0.295579
W465 23.502000 120.697800 255.425 64.6086 4.190976 0.187535
W466 23.337700 120.683200 241.746 72.7703 3.289690 0.201940
W467 23.533700 120.721500 258.015 61.434 3.889294 0.148971
W468 23.539800 120.665500 259.618 66.9055 4.120787 0.341988
W469 23.492300 120.753900 253.01 59.3961 7.850514 0.426852
W46A 23.405400 120.720700 245.882 65.995 6.389740 0.187026
W46B 23.429600 120.660200 249.931 70.6985 2.331079 0.204331
W46C 23.561785 120.349194 264.502 98.5442 3.886883 0.308070
W46D 23.491675 120.186936 261.528 115.983 3.837902 0.278404
W470 24.747600 121.691400 17.6012 127.597 1.137276 0.110812
W471 24.779500 121.699700 17.4798 131.219 1.139939 0.067707
W472 24.654100 121.762800 22.3875 120.36 2.388859 0.244379
W473 24.626700 121.743500 22.0737 116.809 1.381785 0.085075
W474 24.692700 121.728600 20.1347 123.075 1.088864 0.138128
W475 23.973472 121.562510 35.6354 44.109 8.814953 0.359243
W476 23.948446 121.547899 36.2109 40.9926 11.961153 0.452050
W47A 24.624880 121.148158 351.37 109.224 1.322837 0.085851
W47B 24.655658 121.326428 0.855718 111.4 4.355008 0.168198
W47C 24.745289 121.039347 347.284 124.393 1.444342 0.163451
W47D 24.901100 120.987684 346.778 142.387 0.892665 0.139448
W47E 24.866934 121.136116 352.572 135.942 2.258536 0.209299
W47F 24.789462 121.183263 354.202 126.864 1.006391 0.105274
W48A 24.157477 120.665515 310.708 86.4059 0.971297 0.103461
W48B 24.041928 120.700506 305.08 75.7594 1.262930 0.140487
W48C 23.794558 120.711857 284.828 63.0579 2.760470 0.144636
W48D 23.734977 120.783590 280.048 54.508 7.179542 0.200467
W48E 24.557479 120.757642 330.919 115.136 1.783423 0.142289
